Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SX193B,2,2,,,A,153,,1190,1190
SF130D,1,2,,,V,147,,900,900
TB845B,2,2,,,A,152,,851,851
V891NF,2,2,,N,A,170,,2240,2240
SZ597V,1,2,,,V,146,,850,850
TB753H,2,2,,,A,152,,765,765
TB807R,1,2,,,V,164,,1290,1290
OR44KG,2,3,,N,A,,,9000,9000
64WRPV,1,2,,N,A,,,1000,1000
TB032Z,2,2,,,A,151,,893,893
13WSRP,1,2,,N,A,,,1350,1350
15BLB5,2,2,J,N,A,,G,3500,3500
SZ119Z,2,2,,,A,164,,1370,1370
TB460P,2,2,,,A,146,,825,825
SZ078L,2,2,,,A,146,,800,800
TB113F,2,2,,,A,159,,1265,1265
24WSNF,1,2,,N,A,,,1250,1250
TB673Z,1,2,,,V,157,,1220,1220
SX228X,2,2,,,A,158,,960,960
RG520N,2,2,,,A,142,,695,
SZ388V,2,2,,,A,148,,800,800
71WSST,1,2,,N,A,,,8000,8000
V493PX,1,2,,N,V,167,,1550,1550
SV223Z,2,2,,,A,146,,825,825
TB232T,1,2,,,V,156,,1120,1120
51WSSV,1,2,,J,A,,,9000,9000
SX520Z,1,2,,,V,150,,880,880
SZ706G,2,2,,,A,148,,800,800
TD466D,2,2,,,A,198,,2000,
V436RB,1,2,,N,V,167,,1550,1550
SZ346H,1,2,,,V,156,,1020,1020
KK25XP,1,2,,,V,125,,,
SZ836Z,2,2,,,A,153,,1275,
TD321K,1,2,,,V,155,,1100,
SZ186X,2,2,,,A,140,,720,720
V700PP,1,2,,N,V,173,,1650,1650
TD908J,2,2,,,A,158,,1050,
TB550N,2,2,,,A,153,,930,930
V606PX,2,2,,,A,174,,2050,2050
SZ356G,2,2,,,A,155,,945,945
TB808B,1,2,,,V,143,,600,600
V523KB,2,2,,N,A,154,,1230,1230
80WSGJ,1,1,,N,A,,,1400,1500
SN162S,1,2,,,V,153,,887,
V220PX,1,2,,,V,105,,1100,1100
TB990V,1,2,,,V,156,,1020,1020
SZ537B,2,2,,,A,148,,800,800
SZ109Z,1,2,,,V,162,,1140,1140
TD871G,1,2,,,V,158,,1120,
V315PZ,2,2,,,A,158,,1125,1125
SX039L,1,2,,,V,143,,865,
TB685J,1,2,,,V,156,,985,985
TB962X,2,2,,,A,163,,1150,1150
TB642P,1,2,,,V,162,,1050,1050
V825PZ,2,2,,,A,153,,1050,1050
SZ697N,2,2,,,A,161,,1160,1160
V860RB,1,2,,,V,175,,1850,1850
48WSKL,1,2,,N,A,,,1250,1250
SZ684R,2,2,,,A,163,,1410,1410
SX200B,2,2,,,A,153,,930,930
TB853H,2,2,,,A,149,,860,860
TB854N,1,2,,,V,142,,695,
01WSRF,1,2,,N,A,,,1500,1500
V455RB,1,2,,,V,175,,1850,1850
OR56KG,3,3,,N,A,,,9000,9000
OR81JG,1,3,,J,A,,,10000,10000
OR45KH,3,3,,N,A,,,9000,9000
SZ353H,2,2,,,A,156,,965,965
TB807B,1,2,,,V,150,,850,850
SZ989X,1,2,,,V,158,,1100,1100
TB664D,2,2,,,A,158,,1070,1070
TB776G,2,2,,,A,148,,800,800
TD977J,2,2,,,A,148,,770,
SZ335V,2,2,,,A,141,,650,650
SX519Z,2,2,,,A,152,,890,890
RT173R,1,2,,,V,157,,940,940
V291PV,1,2,,,V,154,,1150,1150
TD016K,2,2,,,A,156,,1145,
V113JB,2,2,,N,A,153,,1230,1230
TD725D,2,2,,,A,141,,720,720
TD584G,1,2,,,V,167,,1550,
SX132P,1,2,,,V,145,,950,
V329PN,2,2,,,A,153,,980,980
SZ855N,1,2,,,V,158,,1000,1000
78WSSV,1,1,,N,A,,,2000,2000
TB074J,2,2,,,A,147,,830,830
TB324N,1,2,,,V,150,,860,860
V674PZ,2,2,,,A,163,,1550,1550
V473RB,2,2,,N,A,173,,2250,2250
SX191J,1,2,,,V,148,,835,835
60BKS6,3,3,J,N,A,,G,11500,11500
TB187K,2,2,,,A,156,,1150,1150
TB264D,2,2,,,A,163,,1340,1340
SR640K,2,2,,,A,140,,720,720
V509PS,1,2,,N,V,181,,2100,2100
SZ705G,2,2,,,A,148,,800,800
SR955T,1,2,,,V,151,,950,
68WSRF,1,2,,N,A,,,1350,1350
TB796S,1,2,,,V,155,,1070,1070
TB761B,1,2,,,V,158,,1030,1030
TD105F,2,2,,,A,161,,1255,
TB027Z,1,2,,,V,153,,887,887
TB014S,2,2,,,A,167,,1620,1620
SZ068P,2,2,,,A,150,,800,800
77WSRF,2,2,,N,A,,,1750,1750
TB808P,1,2,,,V,158,,1010,1010
TD743G,2,2,,,A,145,,1050,
SZ584V,1,2,,,V,154,,980,980
TB585K,2,2,,,A,156,,980,980
TB323N,1,2,,,V,161,,1190,1190
SR639K,1,2,,,V,139,,740,740
SZ347K,2,2,,,A,148,,800,800
V899PZ,2,2,,,A,148,,975,975
ST870J,2,2,,,A,147,,790,790
TB768S,2,2,,,A,152,,760,760
TB991X,2,2,,,A,160,,1294,1294
SZ135R,1,2,,,V,160,,1150,1150
SV486J,2,2,,,A,152,,890,
V727RB,2,2,,N,A,178,,2100,2100
SZ573V,2,2,,,A,154,,970,970
TB904B,1,2,,,V,160,,1120,1120
TB645D,2,2,,,A,160,,1345,1345
SL593T,1,2,,,V,158,,1030,1030
TB908Z,1,2,,,V,160,,1085,1085
SB662F,1,2,,,V,146,,800,
OP07LX,2,3,,N,A,,,9000,9000
TD210B,2,2,,,A,141,,695,695
V222PX,1,2,,,V,105,,1100,1100
TB255T,2,2,,,A,158,,1155,1155
OR77FG,1,3,,N,A,,,9000,9000
V113JB,1,2,,N,V,154,,1075,1075
TB711F,1,2,,,V,162,,1190,1190
TB707R,2,2,,,A,156,,1220,1220
SZ392V,1,2,,,V,150,,850,850
TD453G,2,2,,,A,141,,695,
TB698D,2,2,,,A,157,,1120,1120
V327PJ,1,2,,N,V,175,,1850,1850
TB697R,2,2,,,A,152,,1010,1010
V447PZ,1,2,,,V,162,,1600,1600
49WSSV,1,2,,J,A,,,9000,9000
SZ514G,1,2,,,V,150,,970,970
TB432X,1,2,,,V,166,,1255,
V545RB,2,2,,,A,179,,1650,1650
RT171B,2,2,,,A,143,,770,
72WSSV,1,1,,N,A,,,1300,1300
SX716Z,2,2,,,A,144,,780,780
SZ942L,2,2,,,A,141,,695,
SZ510B,2,2,,,A,148,,770,770
SZ557V,2,2,,,A,150,,880,880
V049PZ,2,2,,,A,173,,2100,2100
SZ002Z,1,2,,,V,158,,1100,1100
TB022Z,2,2,,,A,152,,851,851
TB932R,2,2,,,A,150,,930,930
68WSNP,1,2,,N,A,,,1000,1000
TB048J,2,2,,,A,144,,780,780
TD679G,1,2,,,V,181,,1850,
TB035L,1,2,,,V,155,,1070,1070
TB622G,2,2,,,A,158,,950,950
13WSSP,1,3,,N,A,,,1200,1200
TD231B,2,2,,,A,151,,910,910
66WSRZ,1,1,,N,A,,,1500,1500
SZ040S,1,2,,,V,149,,720,720
V329PN,1,2,,,V,152,,882,882
TB835R,2,2,,,A,157,,1050,1050
TB304N,1,2,,,V,150,,860,860
SV224N,1,2,,,V,151,,760,760
TB262R,2,2,,,A,141,,640,640
V463NZ,1,2,,N,V,162,,1585,1585
SJ007F,2,2,,,A,155,,970,970
TB962J,1,2,,,V,150,,840,840
SJ229J,2,2,,,A,154,,995,
V547PT,1,2,,,V,162,,1600,1600
TB666F,1,2,,,V,155,,1070,1070
SZ904F,1,2,,,V,158,,1010,1010
DZ5802,2,2,,,A,127,,,
TB908N,2,2,,,A,139,,785,
V942KX,1,2,J,,V,154,,1075,1075
TB645D,1,2,,,V,162,,1265,1265
73WSRJ,1,2,,N,A,,,1000,1000
TB980B,1,2,,,V,159,,1050,1050
23BKZ7,2,2,J,N,A,,G,11500,12000
SZ549Z,2,2,,,A,141,,650,650
V169KZ,2,2,N,,A,163,,1550,1550
TB736S,1,2,,,V,155,,930,930
TB909Z,1,2,,,V,163,,1115,1115
TD231B,1,2,,,V,154,,1040,1040
V796PL,1,2,,,V,177,,1800,1800
TD074D,2,2,,,A,155,,1100,
SZ384V,1,2,,,V,153,,960,960
TD226K,2,2,,,A,151,,880,
OR34KD,2,3,,N,A,,,9000,9000
SZ905T,2,2,,,A,155,,950,950
V041RB,1,2,,N,V,175,,1850,1850
SV385T,1,2,,,V,155,,890,
SZ623L,2,2,,,A,152,,840,840
TB047F,1,2,,,V,156,,1040,1040
V986PF,2,2,,N,A,174,,2250,2250
V360PS,1,2,,,V,177,,1800,1800
SZ560Z,2,2,,,A,151,,960,960
RJ769R,1,2,,,V,151,,1100,
25WSLG,2,2,,N,A,,,1000,1000
SZ373L,2,2,,,A,158,,1250,1250
TB020S,1,2,,,V,161,,1125,1125
TB576D,1,2,,,V,159,,1200,1200
17BDVL,2,2,,N,A,164,,2450,
TB962K,2,2,,,A,141,,720,720
TD982J,1,2,,,V,144,,830,
TB068K,2,2,,,A,148,,800,800
OR70KG,1,3,,N,A,,,9000,9000
TD525G,1,2,,,V,154,,885,
TB875G,1,2,,,V,162,,1140,1140
SZ956G,1,2,,,V,146,,895,895
V340PT,1,2,,,V,151,,1120,1120
TB939Z,2,2,,,A,150,,880,880
04WSSL,1,1,,N,A,,,1350,1350
SZ685N,2,2,,,A,156,,980,980
TD524G,1,2,,,V,164,,1300,
SZ206R,2,2,,,A,154,,990,990
TB453J,1,2,,,V,151,,830,830
23WSSV,1,2,,N,A,,,1750,1750
TD644G,1,2,,,V,157,,1020,
V883PB,1,2,,,V,157,,1350,1350
OR44KJ,1,3,,N,A,,,9000,10000
SZ938P,1,2,,,V,141,,710,710
SZ081L,2,2,,,A,146,,800,800
SX187L,1,2,,,V,141,,855,855
SZ269L,2,2,,,A,159,,1210,1210
SX385T,2,2,,,A,146,,825,825
TB987S,2,2,,,A,140,,720,720
SP790B,2,2,,,A,151,,893,
OR80KJ,1,3,,J,A,,,9000,9000
86BLB8,2,2,J,N,A,,G,11500,11500
TD662G,1,2,,,V,175,,1600,
TD537B,1,2,,,V,141,,740,740
34WSSV,1,2,,N,A,,,1750,1750
SZ659P,1,2,,,V,161,,1175,1175
SN598V,2,2,,,A,151,,910,
V767PX,2,2,,N,A,163,,1650,1650
TD918G,1,2,,,V,151,,920,
TD015K,1,2,,,V,166,,1360,
TB720L,2,2,,,A,140,,720,720
OR49KG,3,3,,N,A,,,9000,9000
TB735L,1,2,,,V,157,,1060,1060
SZ256L,2,2,,,A,154,,990,990
TD674F,2,2,,,A,157,,1055,
34BLB6,2,3,N,J,A,204,,5200,5500
SX449F,2,2,,,A,157,,950,950
SZ232S,2,2,,,A,157,,1150,1150
V194PS,1,2,,N,V,175,,1650,1650
SX606L,2,2,,,A,157,,1075,1075
TB755D,1,2,,,V,161,,1125,1125
96BKL1,2,2,J,N,A,,G,11500,13000
TB810B,1,2,,,V,158,,1040,1040
OR02KH,3,3,,N,A,,,9000,9000
OR50KH,3,3,,J,A,,,9000,9000
TD732G,1,2,,,V,152,,1080,
V776PX,1,2,,,V,157,,1350,1350
OR69KG,1,3,,N,A,,,9000,9000
RZ930X,1,2,,,V,151,,859,
SV589X,1,2,,,V,158,,1050,1050
OR49KG,2,3,,N,A,,,9000,9000
TB761B,2,2,,,A,158,,1050,1050
TB078K,1,2,,,V,141,,710,710
SV741F,1,2,,,V,141,,770,
TB624T,2,2,,,A,158,,950,950
TD017B,2,2,,,A,154,,980,980
TB588D,1,2,,,V,150,,840,840
SZ723K,1,2,,,V,147,,900,900
TD729G,2,2,,,A,143,,770,
TD799G,1,2,,,V,153,,900,
SR137H,2,2,,,A,146,,825,
V767KH,1,2,,N,V,171,,1650,1650
TB796S,2,2,,,A,154,,990,990
SZ066L,2,2,,,A,146,,800,800
V814PV,2,2,,,A,163,,1550,1550
TD603B,2,2,,,A,153,,835,
V347PZ,2,2,,,A,158,,1355,1355
OR65KK,1,3,,J,A,,,9000,9000
SZ960P,1,2,,,V,166,,1315,1315
TD205B,1,2,,,V,166,,1250,1250
SZ354H,1,2,,,V,154,,850,850
SR853V,2,2,,,A,158,,1200,1200
04BLD1,1,2,N,N,V,,,6100,6100
SX074L,1,2,,,V,157,,1035,
SZ238Z,1,2,,,V,159,,1040,1040
SF086R,1,2,,,V,142,,695,
TD588B,2,2,,,A,159,,980,980
SZ275L,1,2,,,V,154,,905,905
TD071B,2,2,,,A,149,,875,875
V678PJ,1,2,,,V,162,,1710,1710
V829PT,1,2,,,V,164,,1400,1400
SN913N,2,2,,,A,149,,860,
TB666D,1,2,,,V,141,,710,710
TB204T,2,2,,,A,161,,1000,1000
V209PX,1,2,,N,V,175,,1625,1625
JL793T,1,2,,,V,152,,1150,
OR62KH,3,3,,J,A,,,9000,9000
SX538K,1,2,,,V,156,,990,
TD077B,1,2,,,V,151,,920,920
OR66KK,2,3,,N,A,,,9000,9000
V781PX,2,2,,,A,157,,1870,1870
SR108L,1,2,,,V,142,,695,
TD594D,2,2,,,A,141,,695,
TD669H,1,2,,,V,158,,1100,1100
TD264F,1,2,,,V,174,,1850,
V040RB,2,2,,N,A,176,,1725,1725
TB488X,2,2,,,A,165,,1275,
TB988H,1,2,,,V,143,,600,600
OR50KG,1,3,,N,A,,,9000,9000
SV130B,1,2,,,V,173,,1750,
2SHN42,2,2,,,A,155,,885,
SZ264K,2,2,,,A,156,,1080,1080
88WSSN,1,2,,J,A,,,10000,10000
V581PX,2,2,,,A,163,,1650,1650
SX198Z,1,2,,,V,155,,1100,
TB181K,2,2,,,A,155,,895,895
V896PX,1,2,,,V,177,,1800,1800
TD501F,2,2,,,A,152,,880,880
TD802J,2,2,,,A,131,,850,
TB187N,1,2,,,V,153,,910,910
SX711J,1,2,,,V,154,,1040,1040
SZ702V,1,2,,,V,150,,840,840
RT597J,2,2,,,A,157,,1050,
TB273D,1,2,,,V,155,,980,980
TB190B,1,2,,,V,152,,740,740
SZ377V,2,2,,,A,148,,830,830
TB643P,1,2,,,V,162,,1050,1050
SZ521P,2,2,,,A,149,,785,785
TD457F,1,2,,,V,157,,1005,1005
SX843F,1,2,,,V,143,,695,695
TB489R,2,2,,,A,157,,975,975
SZ553V,1,2,,,V,153,,890,890
TD836G,2,2,,,A,142,,695,
TB894H,2,2,,,A,162,,1010,1010
TB240L,2,2,,,A,157,,1000,1000
TB113V,2,2,,,A,157,,1150,1150
SN088Z,2,2,,,A,152,,980,980
V571PX,2,2,,,A,153,,1140,1140
68BLB8,1,4,N,N,V,,,9000,9000
SK337K,2,2,,,A,154,,970,
V778PX,2,2,,,A,105,,1200,1200
TB557L,2,2,,,A,142,,710,710
SZ267S,2,2,,,A,148,,800,800
SZ481S,1,2,,,V,151,,929,
SZ266S,1,2,,,V,150,,900,900
V213LP,1,2,,N,V,181,,1850,1850
SN116Z,2,2,,,A,157,,1200,1200
TB114N,1,2,,,V,141,,710,710
TD504D,2,2,,,A,141,,695,
SL601T,1,2,,,V,149,,720,720
V202PZ,1,2,,N,V,171,,1850,1850
TD064B,1,2,,,V,151,,920,920
SH113R,1,2,,,V,147,,900,
SX704J,2,2,,,A,151,,910,910
V199NT,2,2,,N,A,163,,1650,1650
SX941P,2,2,,,A,152,,851,851
SZ604T,2,2,,,A,158,,1080,1080
OR52KH,1,3,,N,A,,,9000,9000
TB358B,2,2,,,A,155,,1000,1000
SZ378J,2,2,,,A,151,,852,
TD466G,2,2,,,A,143,,800,
TB928N,2,2,,,A,146,,680,
SZ609Z,1,2,,,V,153,,910,910
TB827S,2,2,,,A,163,,1200,1200
SZ692D,1,2,,,V,152,,920,920
TB019Z,2,2,,,A,152,,851,851
TD267G,2,2,,,A,166,,1295,1295
ST725B,1,2,,,V,148,,855,855
TB623G,2,2,,,A,158,,950,950
SZ312V,2,2,,,A,154,,980,980
TB342J,2,2,,,A,157,,1075,1075
TB883P,2,2,,,A,151,,876,876
YK12PK,2,2,,,A,160,,,
TB240T,2,2,,,A,158,,1240,1240
OR98JX,3,3,,N,A,,,9000,9000
TD069B,2,2,,,A,149,,875,875
SV146V,2,2,,,A,150,,1040,1040
SX727J,1,2,,,V,154,,1040,1040
SZ559V,2,2,,,A,150,,900,900
73PFP9,1,2,,,,151,,800,800
TB784R,1,2,,,V,146,,895,895
HR209F,1,2,,,V,157,,1050,1050
V386PX,1,2,,N,V,169,,1850,1850
TB187N,2,2,,,A,150,,990,990
V674PZ,1,2,,,V,162,,1550,1550
SZ617G,1,2,,,V,161,,1125,1125
SZ653F,1,2,,,V,151,,820,820
TD979G,2,2,,,A,142,,640,
TB810B,2,2,,,A,158,,1070,1070
48YD77,2,2,,,A,135,,710,
SZ593P,2,2,,,A,146,,825,825
TD630H,2,2,,,A,156,,1075,1075
TB064V,1,2,,,V,150,,970,970
V560PX,1,2,,,V,156,,1150,1150
SZ500B,2,2,,,A,150,,890,890
SX466P,1,2,,,V,150,,870,
37BLB6,2,3,N,J,A,204,,5200,5500
SX288S,2,2,,,A,150,,845,845
TB786P,1,2,,,V,156,,1070,1070
TB056S,2,2,,,A,148,,860,860
OR53KG,1,3,,N,A,,,9000,9000
TD207D,1,2,,,V,163,,1300,
SX156Z,2,2,,,A,146,,760,
TB211P,1,2,,,V,157,,1040,
SJ716L,1,2,,,V,148,,1000,
SZ068L,1,2,,,V,147,,860,860
TB987V,1,2,,,V,169,,1500,1500
SZ454T,1,2,,,V,153,,961,961
TB987V,2,2,,,A,169,,1775,1775
SZ912R,2,2,,,A,158,,960,960
SX039L,2,2,,,A,142,,680,
SZ568N,2,2,,,A,152,,765,765
WV52ZS,1,1,,N,A,,,1300,1300
26WSHF,2,2,,N,A,,,1800,1800
V077LZ,2,2,,N,A,174,,1575,1575
TD217F,2,2,,,A,140,,640,640
96WSSZ,1,1,,N,A,,,1200,1200
V979PX,2,2,,N,A,164,,1720,1720
SX042J,1,2,,,V,150,,785,785
OR53KH,1,3,,N,A,,,9000,9000
TB257D,1,2,,,V,155,,1015,1015
SX618N,1,2,,,V,149,,935,935
TB291G,1,2,,,V,158,,1100,1100
TB057L,1,2,,,V,160,,1150,1150
SZ080L,1,2,,,V,147,,860,860
SX875G,1,2,,,V,141,,710,710
SX606L,1,2,,,V,159,,945,945
SZ656V,2,2,,,A,151,,1000,1000
SZ863R,1,2,,,V,150,,900,900
V525PX,2,2,,N,A,159,,1800,1800
SX718G,2,2,,,A,157,,960,960
TD595G,2,2,,,A,157,,1170,
SZ714T,1,2,,,V,161,,1340,1340
SZ210R,1,2,,,V,155,,1070,1070
SX875G,2,2,,,A,141,,650,650
65WSSH,1,1,,N,A,,,1500,1500
OR15KK,3,3,,N,A,,,9000,9000
TB705D,1,2,,,V,153,,920,920
SP416N,1,2,,,V,156,,1070,
TD805J,1,2,,,V,157,,1250,
OR64KH,2,3,,N,A,,,9000,9000
SZ570Z,1,2,,,V,144,,810,810
TB788G,2,2,,,A,155,,1150,1150
TB956B,1,2,,,V,156,,990,990
TB757J,1,2,,,V,159,,1060,1060
SZ601R,1,2,,,V,154,,950,950
SX843F,2,2,,,A,142,,695,695
V834PX,2,2,,N,A,172,,2250,2250
TD873J,1,2,,,V,157,,1175,
OR54KG,3,3,,N,A,,,9000,9000
TD727D,1,2,,,V,152,,740,740
SB867V,1,2,,,V,147,,900,
SZ697V,2,2,,,A,164,,1585,1585
TB176D,1,2,,,V,151,,940,940
TB621R,2,2,,,A,165,,1305,1305
SX125L,2,2,,,A,146,,780,
92WSRH,1,2,,N,A,,,1350,1350
V765PX,2,2,,N,A,173,,2100,2100
SX965H,1,2,,,V,153,,961,961
SK949N,1,2,,,V,142,,695,
SZ623L,1,2,,,V,152,,920,920
TB031F,1,2,,,V,141,,710,710
60BKS6,2,3,N,J,A,,,7500,7500
TD131F,2,2,,,A,157,,1040,
75BLD1,3,3,N,J,A,,,7500,7500
TD848J,1,2,,,V,155,,970,
TB401R,1,2,,,V,151,,1080,1080
TB324N,2,2,,,A,148,,810,810
SZ860R,1,2,,,V,150,,900,900
TD987G,2,2,,,A,150,,1020,
TB994K,1,2,,,V,162,,1190,1190
SL050Z,2,2,,,A,155,,1080,1080
TB581T,1,2,,,V,146,,750,750
TD156K,1,2,,,V,154,,895,
TB321H,1,2,,,V,159,,990,
SZ508B,1,2,,,V,150,,840,840
SZ198B,1,2,,,V,154,,910,910
SZ337V,2,2,,,A,148,,800,800
GH113H,1,2,,,V,155,,985,
SX506V,1,2,,,V,147,,900,900
SZ564V,2,2,,,A,148,,770,770
TB052F,1,2,,,V,141,,710,710
TD316F,1,2,,,V,163,,1470,
93WSRH,2,2,,N,A,,,1350,1350
TB872F,2,2,,,A,149,,860,860
TB585K,1,2,,,V,157,,1050,1050
SZ455T,2,2,,,A,152,,867,867
TB843H,2,2,,,A,158,,1060,1060
TD617G,1,2,,,V,145,,810,
TB237T,1,2,,,V,154,,905,905
V917PT,1,2,,,V,152,,1080,1080
TB977N,2,2,,,A,141,,695,
TB655D,1,2,,,V,158,,1180,1180
TB703D,2,2,,,A,150,,1050,1050
TB703D,1,2,,,V,153,,1020,1020
TB006J,1,2,,,V,150,,909,909
TB628X,2,2,,,A,157,,935,
TB876J,2,2,,,A,153,,1200,1200
TB750D,1,2,,,V,159,,1010,1010
TB073J,2,2,,,A,152,,890,890
OR13KK,2,3,,N,A,,,9000,9000
SZ614L,1,2,,,V,149,,720,720
SX775R,2,2,,,A,155,,920,920
SV699B,1,2,,,V,167,,1420,
TB299N,1,2,,,V,150,,970,970
TB854N,2,2,,,A,141,,695,
SZ774D,1,2,,,V,161,,1125,1125
TD851G,2,2,,,A,142,,720,
TB016Z,1,2,,,V,153,,961,961
V202LP,1,2,,N,V,176,,1450,1450
TB610F,2,2,,,A,153,,1075,1075
SZ502B,1,2,,,V,153,,930,930
SZ187K,2,2,,,A,155,,950,950
V102PD,2,2,,N,A,153,,1140,1140
TB916G,2,2,,,A,161,,1200,1200
OR42JP,1,3,,J,A,,,9000,9000
V423LX,1,2,J,,V,177,,1800,1800
TB571D,1,2,,,V,154,,1060,1060
TD203F,1,2,,,V,156,,1050,
DZ5812,1,2,,,V,152,,,
SZ074Z,1,2,,,V,161,,1075,1075
TD450F,2,2,,,A,100,,685,
73WSRK,1,1,,N,A,,,1300,1300
RT597J,1,2,,,V,159,,1090,
SZ727K,1,2,,,V,147,,900,900
TB968K,1,2,,,V,142,,700,700
TB004H,1,2,,,V,148,,875,
V957RB,2,2,,,A,163,,1650,1650
SX817J,2,2,,,A,154,,921,921
TB091F,2,2,,,A,148,,770,770
TB698D,1,2,,,V,158,,1080,1080
V891PG,1,2,,,V,162,,1500,1500
TB338L,1,2,,,V,141,,740,740
SX728J,1,2,,,V,154,,1040,1040
OR05KK,1,3,,N,A,,,9000,9000
V890PG,1,2,,,V,162,,1500,1500
SZ350H,1,2,,,V,156,,1050,1050
SK897X,1,2,,,V,159,,1060,
21WSSP,2,2,,N,A,,,3000,3000
SX679R,2,2,,,A,148,,770,770
OR72KH,2,3,,N,A,,,9000,9000
TB084G,2,2,,,A,161,,1005,1005
54WSST,2,2,,N,A,,,1000,1000
TD211F,2,2,,,A,150,,820,
ST297Z,1,2,,,V,154,,1150,1150
TB632P,1,2,,,V,160,,1080,1080
TD603D,2,2,,,A,154,,4100,
TB658N,2,2,,,A,154,,970,970
45BLB9,3,3,J,N,A,,G,11500,11500
V272PX,2,2,,,A,163,,1550,1550
TB025Z,1,2,,,V,153,,887,887
SZ265X,1,2,,,V,160,,1160,1160
TB939N,2,2,,,A,142,,640,
SH960T,1,2,,,V,159,,1250,
TD233D,2,2,,,A,175,,1400,
SR955T,2,2,,,A,149,,880,
SZ535B,1,2,,,V,150,,860,860
OR02KH,2,3,,N,A,,,9000,9000
TB321V,2,2,,,A,156,,1080,1080
DZ5822,2,2,,,A,146,,,
TB599X,2,2,,,A,161,,1040,
TD907J,2,2,,,A,159,,1085,
SZ436Z,1,2,,,V,158,,1030,1030
TB766S,2,2,,,A,147,,750,750
SZ385Z,2,2,,,A,152,,840,840
11BKT8,3,3,J,N,A,,G,11500,11500
SZ974L,1,2,,,V,141,,770,
TD915G,2,2,,,A,140,,640,
ST723X,1,2,,,V,152,,920,920
TB708F,1,2,,,V,160,,1130,1130
SJ533J,2,2,,,A,146,,770,
SX214B,2,2,,,A,153,,930,930
V428PZ,1,2,,,V,162,,1600,1600
TB026Z,2,2,,,A,152,,851,851
SK533K,1,2,,,V,159,,1100,
SZ152S,2,2,,,A,150,,900,900
TB480R,1,2,,,V,149,,850,850
SZ489L,1,2,,,V,139,,740,740
SZ945J,2,2,,,A,156,,1220,1220
ST724X,2,2,,,A,152,,840,840
TB294B,1,2,,,V,141,,830,830
16WSPB,1,3,,N,A,,,1350,1350
TB972V,1,2,,,V,153,,920,920
TB127Z,1,2,,,V,153,,887,887
OR54KH,2,3,,N,A,,,9000,9000
TB675B,2,2,,,A,149,,885,885
SZ488D,2,2,,,A,157,,940,940
TD912J,2,2,,,A,150,,1020,
TD858G,1,2,,,V,157,,1135,
TB988V,1,2,,,V,164,,1190,1190
TB770D,1,2,,,V,156,,1015,1015
SZ725B,1,2,,,V,167,,1550,1550
TB137F,1,2,,,V,153,,1000,1000
SL483T,1,2,,,V,149,,720,720
42SVZG,1,2,,,V,144,,814,
SZ629Z,2,2,,,A,148,,800,800
V562PP,1,2,,,V,163,,1500,1500
SX190Z,2,2,,,A,151,,800,
TD122G,2,2,,,A,150,,760,760
SZ082L,1,2,,,V,147,,860,860
TB065K,1,2,,,V,158,,1080,1080
SR138S,2,2,,,A,156,,920,920
OR53JY,2,3,,N,A,,,9000,9000
SV155R,2,2,,,A,146,,1130,
TB251X,2,2,,,A,157,,880,
SZ421L,2,2,,,A,164,,1370,1370
SZ540V,1,2,,,V,153,,980,980
TD535B,2,2,,,A,142,,710,710
TB786P,2,2,,,A,156,,950,950
RJ142D,2,2,,,A,149,,860,
GX935S,2,2,,,A,147,,850,
OR72KH,1,3,,J,A,,,9000,9000
SZ501L,2,2,,,A,158,,960,960
SZ772F,1,2,,,V,150,,915,915
V168PZ,1,2,,N,V,162,,1580,1580
SX443Z,2,2,,,A,155,,1000,1000
OR08KK,3,3,,N,A,,,9000,9000
TB135X,1,2,,,V,164,,1295,
TD351D,1,2,,,V,164,,1210,
OR98JX,2,3,,N,A,,,9000,9000
V768PX,2,2,,N,A,173,,2100,2100
SX205B,1,2,,,V,154,,970,970
V875PR,1,2,,,V,175,,1850,1850
OR69KK,3,3,,J,A,,,9000,9000
V875PR,2,2,,,A,173,,2100,2100
V220PZ,2,2,,,A,179,,1650,1650
SZ077L,2,2,,,A,146,,800,800
TB042P,2,2,,,A,153,,940,
TD196F,1,2,,,V,162,,1165,1165
RS797V,2,2,,,A,156,,1050,1050
SZ228Z,2,2,,,A,156,,970,970
SV390V,1,2,,,V,143,,695,695
TB963H,1,2,,,V,153,,887,887
V183PS,2,2,,N,A,163,,1650,1650
V960PK,1,2,,,V,154,,1175,1175
TD727D,2,2,,,A,152,,760,760
SZ079L,2,2,,,A,146,,800,800
TB064G,1,2,,,V,141,,740,740
TB990V,2,2,,,A,156,,1035,1035
OR37KD,1,3,,N,A,,,9000,9000
TB024L,2,2,,,A,166,,1220,1220
15BLD3,2,2,J,N,A,,A,5350,5350
TB012Z,2,2,,,A,152,,867,867
TB673N,2,2,,,A,152,,980,980
SZ386V,1,2,,,V,150,,830,830
SR766L,2,2,,,A,156,,1080,1080
TB469H,1,2,,,V,141,,830,830
SZ445K,2,2,,,A,148,,800,800
OR05JT,3,3,,N,A,,,9000,9000
V536LV,1,2,J,,V,162,,1710,1710
TB419P,1,2,,,V,147,,860,
TB093P,2,2,,,A,148,,790,
