Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SN088Z,1,2,,,V,153,,1020,1020
SN297Z,2,2,,,A,164,,1370,1370
SG220Z,1,2,,,V,158,,1285,
TD368D,1,2,,,V,152,,1080,
18WSSR,2,2,,N,A,,,1350,1350
OR61KJ,3,3,,N,A,,,10000,10000
OR66KH,2,3,,N,A,,,9000,9000
SZ488D,1,2,,,V,156,,995,995
ST781V,2,2,,,A,152,,840,840
SZ959P,1,2,,,V,169,,1440,1440
SZ998T,2,2,,,A,163,,1300,1300
OR35KD,2,3,,N,A,,,9000,9000
96BKL1,1,2,N,N,V,,,7500,7500
TB260G,1,2,,,V,158,,1100,1100
SZ867T,2,2,,,A,147,,780,780
V183PS,1,2,,N,V,162,,1585,1585
SZ863N,2,2,,,A,152,,851,851
TB079K,1,2,,,V,158,,1000,1000
V810PV,2,2,,,A,163,,1600,1600
OR90KJ,2,3,,N,A,,,9000,9000
OR94KG,2,3,,N,A,,,9000,9000
17THJF,1,2,,,,161,,1130,1130
TB735G,2,2,,,A,156,,1070,1070
V728RB,2,2,,N,A,161,,2800,2800
TB256X,1,2,,,V,164,,1250,
SX518P,1,2,,,V,153,,887,
TD195K,2,2,,,A,154,,1200,
V296PV,2,2,,,A,163,,1550,1550
SX489Z,1,2,,,V,156,,970,970
TB334V,1,2,,,V,153,,900,900
SZ597V,2,2,,,A,145,,805,805
SV887F,2,2,,,A,151,,860,
TD639F,2,2,,,A,153,,760,760
SZ982H,1,2,,,V,148,,830,
TB239D,2,2,,,A,167,,1210,1210
SZ345H,2,2,,,A,156,,1035,1035
TB750S,2,2,,,A,151,,910,910
SH952J,2,2,,,A,155,,1065,
TD816G,2,2,,,A,154,,940,
SZ018T,1,2,,,V,172,,1786,
TD186F,1,2,,,V,158,,1130,1130
TB862D,1,2,,,V,153,,940,940
V319LH,2,2,,N,A,160,,2050,2050
SJ908D,1,2,,,V,139,,740,740
TB180X,1,2,,,V,166,,1260,
V244PK,1,2,,N,V,173,,1860,1860
77BLD1,1,3,N,N,V,,,8000,8000
TB774F,2,2,,,A,147,,750,750
TD290K,2,2,,,A,157,,1320,
SZ544G,2,2,,,A,167,,1480,1480
SZ614V,1,2,,,V,158,,1020,1020
PT183R,2,2,,,A,157,,1055,
TB909Z,2,2,,,A,162,,1230,1230
SZ269L,1,2,,,V,155,,920,920
SP570L,2,2,,,A,154,,960,960
TD712D,2,2,,,A,153,,900,900
OR47KG,3,3,,N,A,,,9000,9000
TB100X,2,2,,,A,152,,850,
ST732V,2,2,,,A,158,,1225,1225
TD201F,1,2,,,V,162,,1300,1300
TB017T,2,2,,,A,152,,760,760
TD318F,2,2,,,A,150,,750,
TB846B,2,2,,,A,150,,1040,1040
TB255T,1,2,,,V,154,,935,935
SZ231X,1,2,,,V,156,,1060,1060
TB568K,1,2,,,V,157,,1050,1050
SV669B,1,2,,,V,155,,920,
