Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
H334TK,1,Benzine,5.60,7.00,9.60,164,,71,80,5,715/2007*566/2011J,,0.00100,,225.00,,,3750,,,,,,,,,,,,,,,
26MLTP,1,Benzine,,,,,,74,81,,"134/2014, WMTC STAGE II",,,,13.00,,,4000,,,,,,,,,,,,,,,
H442LN,1,Diesel,5.20,5.70,6.70,149,,72,74,5,715/2007*566/2011F,,0.00100,,110.00,,0.52,3000,,,,,,,,,,,,,,,
63MLJR,1,Benzine,,,,,,76,90,,,,,,100.00,,,3875,,,,,,,,,,,,,,,
DZH81J,1,Benzine,,,,,,66,74,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
22MLTP,1,Benzine,,,,,,75,90,,134/2014*2018/295A1,,,,104.50,,,5000,,,,,,,,,,,,,,,
DXD72X,1,Benzine,,,,,,70,79,,"(EU) NO 134/2014",,,,1.80,,,3000,,,,,,,,,,,,,,,
H505TG,1,Benzine,4.60,5.20,6.40,119,,68,74,6,715/2007*2016/427W,,,,110.00,,,3750,,,,,,,,,,,,,,,
H314TK,1,Benzine,,,,115,,74,82,6,715/2007*2017/1347AG,,,,51.00,,,4125,,,,,,,,,,,,,,,
DZG64V,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
DZJ50B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
G496LP,1,Benzine,4.40,5.30,7.00,124,,71,80,5,715/2007*630/2012J,,0.00199,,66.00,,,3600,,,,,,,,,,,,,,,
H295TF,1,Benzine,8.70,11.40,16.00,276,,76,85,4,70/220*2001/100A,,,,170.00,,,4425,,,,,,,,,,,,,,,
70MLTF,1,Benzine,,,,,,79,87,,,,,,72.00,,,5250,,,,,,,,,,,,,,,
DPJ31D,1,Benzine,,3.60,,82,,66,74,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
G838DZ,1,Benzine,4.60,5.00,5.70,113,,70,72,6,715/2007*2015/45W,,0.00099,,82.00,,,3750,,,,,,,,,,,,,,,
H345KS,1,Benzine,5.20,6.20,7.90,144,,71,75,5,715/2007*692/2008A,,,,86.00,,,3750,,,,,,,,,,,,,,,
DZJ82B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
TP573Z,1,Benzine,5.20,6.10,7.60,145,,70,77,5,715/2007*566/2011J,,,,104.00,,,3750,,,,,,,,,,,,,,,
45MLTL,1,Benzine,,,,,,73,89,,134/2014*2016/1824A1,,,,45.00,,,3750,,,,,,,,,,,,,,,
DZK90B,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
H596TB,1,Benzine,4.50,5.50,7.30,129,,71,75,6,715/2007*136/2014W,,0.00029,,90.00,,,3750,,,,,,,,,,,,,,,
H120NF,1,Benzine,6.70,8.50,11.60,199,,73,75,5,715/2007*692/2008A,,0.00212,,125.00,,,3750,,,,,,,,,,,,,,,
36MLTP,1,Elektriciteit,,,,,,,,,,,,,,19.00,,,,,,,,,,,,,,,,,
DZH06D,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
DZF50N,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
H823TH,1,Benzine,5.40,6.30,7.90,147,,71,73,6,715/2007*2015/45W,,0.00113,,97.00,,,3750,,,,,,,,,,,,,,,
DZL31F,1,Elektriciteit,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,
DSN97R,1,Elektriciteit,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,
DZG90V,1,Benzine,,2.60,,57,,71,76,,134/2014*2016/1824A1,,,,2.60,,,3750,,,,,,,,,,,,,,,
H067TF,1,Benzine,4.70,5.40,6.50,128,,69,78,4,,,,,73.00,,,4500,,,,,,,,,,,,,,,
H499SX,1,Benzine,5.20,5.80,6.80,133,,70,73,6,715/2007*2015/45W,,0.00100,,85.00,,,3375,,,,,,,,,,,,,,,
DZL57H,1,Benzine,,,,,,66,78,,"no 134/2014",,,,1.90,,,3250,,,,,,,,,,,,,,,
H247TJ,1,Benzine,3.90,4.50,5.50,106,,71,80,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
DZK95D,1,Benzine,,3.60,,82,,66,76,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
DZL74G,1,Benzine,,,,,,68,80,,97/24*2006/27/5,,,,2.20,,,3625,,,,,,,,,,,,,,,
H662TB,1,Benzine,3.80,4.30,5.10,98,,69,83,6,715/2007*136/2014W,,0.00081,,70.00,,,3750,,,,,,,,,,,,,,,
DXS15K,1,Benzine,,,,,,70,79,,"(EU) NO 134/2014",,,,1.80,,,3000,,,,,,,,,,,,,,,
50MLTK,1,Benzine,,,,,,75,94,,,,,,69.00,,,2510,,,,,,,,,,,,,,,
H029TJ,1,Benzine,,,,,,,84,2,,,,,104.00,,,3000,,,,,,,,,,,,,,,
G696PL,1,Benzine,6.40,8.30,11.60,194,,74,79,5,715/2007*459/2012J,,,,187.00,,,3750,,,,,,,,,,,,,,,
H652TG,1,Diesel,7.80,9.50,12.60,249,,75,75,4,70/220*2006/96B,,0.00200,,96.00,,0.60,2625,,,,,,,,,,,,,,,
G824KR,1,Benzine,,,,,,72,78,3,,,,,184.00,,,3900,,,,,,,,,,,,,,,
H735TB,1,Benzine,,,,158,,72,76,5,,,,,77.00,,,3750,,,,,,,,,,,,,,,
74MLPZ,1,Benzine,,,,,,,,,,,,,68.00,,,,,,,,,,,,,,,,,,
H094TJ,1,Benzine,4.20,5.10,6.70,119,,70,79,5,715/2007*692/2008A,,,,55.00,,,4125,,,,,,,,,,,,,,,
DZL54F,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
52MLTL,1,Benzine,,,,,,77,94,,134/2014*2018/295,,,,77.20,,,3750,,,,,,,,,,,,,,,
H909FR,1,Benzine,4.90,5.60,6.80,129,,69,77,5,715/2007*692/2008F,,,,69.00,,,3750,,,,,,,,,,,,,,,
DZK38Z,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
DRJ52B,1,Benzine,,,,,,66,81,,134/2014*2016/1824,,,,1.50,,,3125,,,,,,,,,,,,,,,
H239SX,2,Elektriciteit,,,,,,67,,6,715/2007*2018/1832DG,,,,,37.00,,,,,,,,,,,,,,,37.00,53.00,NOVC-HEV
H999TH,1,Benzine,4.10,4.60,5.50,109,,70,83,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
48MLBR,1,Benzine,,,,,,78,95,,,,,,127.00,,,5000,,,,,,,,,,,,,,,
H404PX,1,Benzine,4.60,5.80,7.80,139,,71,80,4,70/220*2002/80B,,,,59.00,,,4200,,,,,,,,,,,,,,,
DZJ38B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DZJ62X,1,Benzine,,,,,,65,75,,"EU No 134/2014*2016/1824",,,,1.90,,,3250,,,,,,,,,,,,,,,
H824LG,1,Benzine,,,,172,,72,78,3,,,,,85.00,,,,,,,,,,,,,,,,,,
H224SJ,1,Benzine,,,,,29.00000,70,81,6,715/2007*2016/646W,,0.00010,,77.20,,,3750,,,,,,,,,,,,,,,OVC-HEV
DZL54H,1,Benzine,,,,,,66,77,,97/24*2006/27/5,,,,2.00,,,3500,,,,,,,,,,,,,,,
G986TT,1,Benzine,4.90,5.90,7.60,138,,71,71,6,715/2007*136/2014W,,0.00240,,112.00,,,3750,,,,,,,,,,,,,,,
H619TG,1,Benzine,4.20,4.90,6.20,115,,74,82,6,715/2007*195/2013W,,,,51.00,,,4125,,,,,,,,,,,,,,,
DZK73T,1,Benzine,,,,,,65,80,,"no 134/2014*2018/295",,,,1.80,,,3125,,,,,,,,,,,,,,,
DZJ71B,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
DZL23H,1,Benzine,,,,,,71,77,,97/24*2006/27/5,,,,2.30,,,3250,,,,,,,,,,,,,,,
DZL08G,1,Benzine,,,,,,66,78,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
50MLTJ,1,Benzine,,,,,,73,90,,,,,,51.00,,,4250,,,,,,,,,,,,,,,
DVX17P,1,Benzine,,2.10,,47,,71,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
96MLSN,1,Benzine,,,,,,,90,,,,,,53.00,,,4200,,,,,,,,,,,,,,,
H719TG,1,Benzine,5.60,7.20,9.90,169,,75,84,5,715/2007*566/2011J,,0.00140,,184.00,,,3750,,,,,,,,,,,,,,,
H755TG,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,80.00,NOVC-HEV
DZL86J,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.60,,,,,,,,,,,,,,,,,
H264TJ,1,Benzine,4.90,5.80,7.40,133,,69,82,6,715/2007*2015/45W,,0.00018,,135.00,,,3750,,,,,,,,,,,,,,,
DZK76J,1,Benzine,,2.60,,57,,66,76,,134/2014*2016/1824,,,,2.60,,,3250,,,,,,,,,,,,,,,
H033TJ,1,Benzine,4.10,3.90,3.50,87,,67,68,6,715/2007*2016/646W,,,,72.00,,,2500,,,,,,,,,,,,,,,NOVC-HEV
H554TB,1,Benzine,4.50,5.50,7.30,128,,73,75,5,715/2007*692/2008A,,,,51.00,,,3500,,,,,,,,,,,,,,,
DVV97P,1,Benzine,,2.90,,65,,65,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
H391SN,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,7.20,,,,,,,,,,,,,,,11.00,,NOVC-HEV
D594XS,1,Benzine,,,,,,,77,,,,,,2.30,,,3250,,,,,,,,,,,,,,,
H809SR,1,Benzine,5.40,6.10,7.50,140,,71,71,5,715/2007*630/2012F,,0.00137,,85.00,,,3375,,,,,,,,,,,,,,,
DTJ32F,1,Benzine,,3.60,,82,,66,76,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
H508TK,1,Benzine,4.20,5.10,6.70,119,,70,79,5,715/2007*692/2008A,,,,55.00,,,4125,,,,,,,,,,,,,,,
H341TB,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
DZH22L,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
55MLTL,1,Benzine,,,,,,75,94,,134/2014*2016/1824A1,,,,104.50,,,5000,,,,,,,,,,,,,,,
H024TJ,1,Benzine,4.70,5.40,6.60,125,,69,76,5,715/2007*195/2013J,,0.00401,,88.00,,,3675,,,,,,,,,,,,,,,
04MLLX,1,Benzine,,,,,,76,92,,"134/2014 (2018/295)",,,,132.00,,,4750,,,,,,,,,,,,,,,
H701TL,1,Benzine,,,,,40.00000,73,76,6,715/2007*2016/646W,,0.00003,,110.00,,,3750,,,,,,,,,,,,,,,OVC-HEV
61MLSV,1,Benzine,,,,,,75,91,,"(EU) 134/2014*(EU) 2018/295",,,,54.00,,,4500,,,,,,,,,,,,,,,
H281TG,1,Benzine,4.10,4.70,5.90,109,,72,79,6,715/2007*136/2014W,,,,62.00,,0.52,3750,,,,,,,,,,,,,,,
H450TH,1,Benzine,,,,,,80,89,,"(EU) 134/2014+ Amendment Reg.",,,,61.10,,,2800,,,,,,,,,,,,,,,
F448DP,1,Benzine,,,,,,,73,,,,,,1.62,,,2750,,,,,,,,,,,,,,,
H128TD,1,Benzine,4.50,5.10,6.00,116,,68,73,6,715/2007*2018/1832DG,,,,74.00,,,3750,,135,,6.00,,,,,,,,,,,
32MLTG,1,Benzine,,,,,,76,91,,"134/2014 (2018/295)",,,,55.00,,,4000,,,,,,,,,,,,,,,
G057BN,1,Benzine,,,,146,,,,4,,,,,55.00,,,,,,,,,,,,,,,,,,
DZL09K,1,Elektriciteit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87MLTN,1,Benzine,,,,,,73,90,,"(EU) 134/2014*(EU) 2018/295",,,,35.00,,,3750,,,,,,,,,,,,,,,
H007HP,1,Benzine,4.60,5.30,6.60,123,,72,73,5,715/2007*459/2012J,,0.00005,,90.00,,,3750,,,,,,,,,,,,,,,
DZL37J,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
H739TJ,1,Elektriciteit,,,,,,,,,,,,,,7.60,,,,,,,,,,,,,,,,,
DZL17F,1,Benzine,,,,,,71,81,,134/2014*2018/295A,,,,2.40,,,3750,,,,,,,,,,,,,,,
H903TD,1,Benzine,4.70,5.30,6.40,124,,68,75,6,715/2007*2015/45W,,0.00123,,100.00,,,3300,,,,,,,,,,,,,,,
H505LB,1,Benzine,5.90,7.10,9.20,166,,75,85,6,715/2007*136/2014W,,0.00090,,170.00,,,3750,,,,,,,,,,,,,,,
79MLTJ,1,Benzine,,,,,,75,93,,134/2014*2018/295A1,,,,66.00,,,2510,,,,,,,,,,,,,,,
DXX81D,1,Benzine,,,,,,71,81,,134/2014*2018/295A1,,,,2.40,,,3750,,,,,,,,,,,,,,,
H804TD,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
H562SN,1,Benzine,4.30,5.20,6.70,120,,71,72,6,715/2007*136/2014W,,0.00030,,92.00,,,3750,,,,,,,,,,,,,,,
76MLTR,1,Benzine,,,,,,71,86,,134/2014*2016/1824A1,,,,40.30,,,3125,,,,,,,,,,,,,,,
H905TJ,1,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,55.00,,,,,,,,,,,169.00,45,57,,55.00,130.00,OVC-HEV
DZK80V,1,Benzine,,,,,,65,80,,"EU No134/2014 incl upto EU 2018/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
06MLTN,1,Benzine,,,,,,79,87,,,,,,49.00,,,6600,,,,,,,,,,,,,,,
G685LF,1,Benzine,4.30,4.80,5.60,110,,69,74,6,715/2007*2018/1832AM,,0.00057,,66.00,,,3750,,131,,5.70,,,,,,,,,,,
VBB21P,1,Diesel,5.20,5.60,6.40,148,,70,83,6,715/2007*2018/1832AO,,,,90.00,,0.51,2813,0.89,192,,7.30,,,,,,,,,,,
H328RD,1,Benzine,4.40,5.00,6.10,114,,68,73,6,715/2007*2018/1832DG,,,,75.00,,,2925,0.05,134,,5.90,,,,,,,,,,,
G385TB,1,Benzine,5.20,6.40,8.40,144,,66,72,6,715/2007*2018/1832DG,,,,140.00,,,3750,0.04,175,,7.70,,,,,,,,,,,
H998PS,1,Diesel,3.40,3.80,4.50,100,,70,77,6,715/2007*2018/1832DG,,,,85.00,,0.51,3000,0.49,118,,4.50,,,,,,,,,,,
XV382B,1,Benzine,6.40,7.30,8.70,166,,67,76,6,715/2007*2017/1347BG,,,,135.00,,,3750,,212,,9.30,9.30,,,,,,,,,,
G514BP,1,Benzine,5.00,5.70,7.00,130,,69,72,6,715/2007*2017/1347AG,,,,103.00,,,3750,,163,,7.20,,,,,,,,,,,
TS078F,1,Benzine,5.50,6.40,8.10,147,,66,78,6,715/2007*2017/1347BG,,0.00005,,147.00,,,3750,,169,,7.40,,,,,,,,,,,
H237JD,1,Benzine,6.10,6.70,7.80,154,,68,81,6,715/2007*2018/1832DG,,,,135.00,,,3750,0.20,184,,8.10,,,,,,,,,,,
H150RH,1,Benzine,3.80,4.40,5.30,100,,70,77,6,715/2007*2018/1832DG,,,,44.00,,,3750,,124,,5.50,,,,,,,,,,,
XJ103L,1,Benzine,3.70,3.90,4.20,90,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
TL533K,1,Benzine,5.30,5.90,7.00,134,,70,76,6,715/2007*2017/1347BG,,,,135.00,,,3750,,170,,7.50,7.50,,,,,,,,,,
ZF177D,1,Benzine,4.20,4.70,5.50,107,,71,74,6,715/2007*2017/1347AG,,,,49.30,,,3750,0.00,122,,5.40,,,,,,,,,,,
XN987X,1,Benzine,4.90,5.80,7.30,131,,69,72,6,715/2007*2017/1347AG,,,,117.00,,,3750,,161,,7.10,,,,,,,,,,,
ZN385F,1,Benzine,5.00,5.30,6.00,121,,69,70,6,715/2007*2017/1347AG,,,,85.00,,,3750,0.00,157,,6.90,,,,,,,,,,,
G523HP,1,Benzine,5.80,7.40,10.10,169,,67,72,6,715/2007*2017/1347AG,,,,165.00,,,3750,0.66,181,,8.00,,,,,,,,,,,
H322JB,1,Benzine,3.70,4.10,4.80,94,,68,74,6,715/2007*2018/1832AM,,,,55.00,,,3750,,122,,5.40,,,,,,,,,,,
G120TB,1,Benzine,5.40,6.20,7.50,141,,65,81,6,715/2007*2018/1832DG,,,,89.00,,,3750,0.18,149,,6.60,,,,,,,,,,,
XB130H,1,Benzine,4.20,4.70,5.60,108,,69,75,6,715/2007*2017/1347AG,,,,61.00,,,3750,,127,,5.70,,,,,,,,,,,
H926HR,1,Benzine,4.10,4.40,4.90,101,,70,77,6,715/2007*2018/1832DG,,,,49.30,,,3750,0.00,117,,5.20,,,,,,,,,,,
PZ890H,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
VBX95J,1,Diesel,4.40,4.60,5.00,122,,69,73,6,715/2007*2018/1832CH,,,,73.50,,0.50,2700,0.31,149,,5.70,,,,,,,,,,,
ZB384D,1,Benzine,5.80,6.90,8.80,160,,68,72,6,715/2007*2017/1347AG,,,,184.00,,,3750,0.18,179,,7.90,,,,,,,,,,,
ZG424S,2,Benzine,4.60,4.30,3.90,100,,72,80,6,715/2007*2017/1347AG,,,,77.20,,,3750,0.20,120,,5.30,,,,,,,,,,,NOVC-HEV
H484ST,2,Benzine,4.60,4.30,3.80,99,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,119,,5.20,,,,,,,,,,,NOVC-HEV
ZK595X,1,Benzine,4.40,5.20,6.50,118,,64,76,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.00,145,,6.40,,,,,,,,,,,
VDX15Z,1,Diesel,7.82,8.72,10.27,228,,74,85,6,,595/2009*2018/932D,,,155.00,,0.52,2625,,297,,10.86,,,,,,,,,,,
TT571J,1,Benzine,5.30,6.00,7.50,138,,71,90,6,715/2007*2017/1347BG,,,,141.00,,,3750,,177,,7.80,7.80,,,,,,,,,,
TS115J,1,Benzine,4.50,5.20,6.50,119,,68,76,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.00,147,,6.50,,,,,,,,,,,
H721PB,1,Benzine,4.40,5.10,6.30,116,,66,74,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.34,142,,6.20,,,,,,,,,,,
G728BH,1,Benzine,5.40,6.20,7.30,141,,67,78,6,715/2007*2018/1832DG,,,,121.00,,,3750,0.12,159,,7.00,,,,,,,,,,,
G148GZ,1,Benzine,3.40,3.70,4.30,85,,69,76,6,715/2007*2018/1832DG,,,,53.00,,,3750,,111,,4.90,,,,,,,,,,,
ZL046R,1,Benzine,4.10,4.70,5.80,107,,67,69,6,715/2007*2017/1347AG,,,,74.00,,,3750,1.43,126,,5.60,,,,,,,,,,,
G671HN,1,Benzine,5.10,5.70,6.80,129,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.07,165,,7.30,,,,,,,,,,,
H281DK,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,158.00,,,,,,,,248.90,299,335,,,,,,230.00,
H621JS,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
H149PJ,1,Benzine,5.20,6.00,7.30,136,,65,91,6,715/2007*2018/1832DG,,,,190.00,,,3750,0.22,163,,7.20,,,,,,,,,,,
G524XV,1,Benzine,5.40,6.50,8.30,147,,67,71,6,715/2007*2018/1832DG,,,,120.00,,,3750,0.15,166,,7.40,,,,,,,,,,,
XZ288S,1,Benzine,4.10,4.60,5.40,105,,65,74,6,715/2007*2017/1347AG,,0.00003,,70.00,,,3750,0.03,121,,5.40,,,,,,,,,,,
G015XH,1,Benzine,4.20,4.80,5.70,108,,67,74,6,715/2007*2018/1832AM,,,,96.00,,,3750,0.27,139,,6.20,,,,,,,,,,,
G826DB,1,Benzine,4.60,5.10,5.90,116,,71,74,6,715/2007*2017/1347AG,,,,54.00,,,3750,,139,,6.20,,,,,,,,,,,
H564BS,1,Benzine,4.50,5.40,7.00,125,,70,74,6,715/2007*2018/1832AP,,,,100.00,,,3750,0.29,138,,6.10,,,,,,,,,,,
H189DX,1,Benzine,4.40,5.20,6.50,118,,66,75,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.12,145,,6.40,,,,,,,,,,,
TP491G,1,Benzine,4.20,4.80,5.80,110,,68,75,6,715/2007*2017/1347AG,,,,73.50,,,3750,0.18,129,,5.70,,,,,,,,,,,
TZ115N,1,Benzine,4.70,5.30,6.20,119,,70,72,6,715/2007*2017/1347AG,,,,92.00,,,3750,0.34,148,,6.60,,,,,,,,,,,
G225KL,1,Benzine,4.70,5.40,6.60,122,,67,76,6,715/2007*2017/1347BG,,,,100.00,,,3375,,151,,6.60,6.60,,,,,,,,,,
H161NS,2,Benzine,4.20,4.00,3.70,92,,65,67,6,715/2007*2018/1832AP,,,,112.00,,,2500,0.16,119,,5.30,,,,,,,,,,,NOVC-HEV
TZ845K,1,Benzine,5.70,6.80,8.60,157,,68,72,6,715/2007*2017/1347AG,,,,184.00,,,3750,0.18,174,,7.70,,,,,,,,,,,
G746KN,1,Benzine,4.70,5.40,6.60,124,,71,82,6,715/2007*2018/1832DG,,,,103.00,,,3750,0.47,140,,6.20,,,,,,,,,,,
H105RH,1,Benzine,4.70,5.60,7.10,127,,69,73,6,715/2007*2018/1832DG,,,,100.00,,,3750,0.29,147,,6.50,,,,,,,,,,,
H043KV,1,Benzine,6.20,7.40,9.30,168,,70,94,6,715/2007*2017/1347BG,,,,250.00,,,3750,,199,,8.80,8.80,,,,,,,,,,
G906ZG,1,Benzine,4.60,5.40,6.70,122,,67,74,6,715/2007*2018/1832DG,,,,110.00,,,3750,0.00,153,,6.70,,,,,,,,,,,
VFV78B,1,Diesel,5.60,6.20,7.30,163,,72,77,6,715/2007*2018/1832CI,,,,66.00,,0.51,2375,0.71,187,,7.10,,,,,,,,,,,
G670VN,1,Elektriciteit,,,,,,,,,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
XT921L,1,Diesel,,,,111,,65,70,6,715/2007*2017/1347AG,,0.00011,,85.00,,0.50,2375,0.11,135,,,,,,,,,,,,,
ZK350Z,1,Benzine,5.10,5.70,6.70,129,,71,91,6,715/2007*2017/1347BG,,,,141.00,,,3750,,161,,7.10,7.10,,,,,,,,,,
H856BH,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,158.00,,,,,,,,247.93,300,335,,,,,,230.00,
H713DR,1,Benzine,5.70,6.80,8.60,154,,69,73,6,715/2007*2018/1832DG,,,,140.00,,,3750,0.18,171,,7.50,,,,,,,,,,,
ZD531X,1,Benzine,5.10,5.60,6.50,128,,70,73,6,"715/2007*EU 2017/1347 AG",,0.00016,,129.00,,,3750,0.16,160,,7.10,,,,,,,,,,,
H439SN,1,Benzine,,,,125,,69,72,6,715/2007*2018/1832DG,,,,88.30,,,3750,0.79,145,,6.40,,,,,,,,,,,
ZS052G,1,Benzine,5.40,6.50,8.30,147,,67,71,6,715/2007*2018/1832DG,,,,120.00,,,3750,0.15,167,,7.40,,,,,,,,,,,
G686BZ,1,Benzine,4.10,4.70,5.80,107,,67,69,6,715/2007*2018/1832DG,,,,74.00,,,3750,1.43,126,,5.60,,,,,,,,,,,
XS529G,2,Benzine,4.00,3.80,3.40,86,,67,68,6,"715/2007*EU 2017/1154 AG",,,,72.00,,,2500,,110,,4.90,,,,,,,,,,,NOVC-HEV
ZP558R,2,Benzine,4.30,5.10,6.40,115,,65,80,6,715/2007*2018/1832DG,,,,90.00,,,3750,0.09,136,,6.00,,,,,,,,,,,NOVC-HEV
G732LZ,1,Diesel,5.80,6.70,8.40,175,,72,71,6,715/2007*2018/1832DG,,,,75.00,,0.50,2375,0.80,194,,7.40,,,,,,,,,,,
XB466K,1,Benzine,5.00,6.20,8.10,141,,70,79,6,715/2007*2017/1347AG,,,,115.00,,,3750,0.19,163,,7.20,,,,,,,,,,,
NS581L,1,Elektriciteit,,,,,,,,Z,,,,,,10.10,,,,,,,,,,,,,,,9.90,45.00,NOVC-HEV
H244KK,2,Benzine,3.80,3.60,3.50,83,,67,67,6,715/2007*2018/1832AM,,,,72.00,,,2500,,112,,4.90,,,,,,,,,,,NOVC-HEV
H008JX,2,Benzine,4.00,3.70,3.40,86,,72,80,6,715/2007*2018/1832DG,,,,77.20,,,3750,0.20,110,,4.90,,,,,,,,,,,NOVC-HEV
XT312X,1,Diesel,5.80,6.70,8.40,175,,72,71,6,715/2007*2017/1347BG,,0.00080,,75.00,,0.50,2375,0.80,190,,7.20,,,,,,,,,,,
H056RH,1,Benzine,3.50,3.80,4.30,86,,69,76,6,715/2007*2018/1832AM,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
XH399K,1,Benzine,4.30,5.10,6.40,114,,70,75,6,715/2007*2017/1347AG,,,,62.50,,,3750,,130,,5.80,,,,,,,,,,,
H812LP,1,Benzine,,,,138,,66,75,6,715/2007*2017/1347AG,,,,110.00,,,3750,0.18,174,,,,,,,,,,,,,
XP063H,1,Benzine,4.10,4.70,5.80,107,,67,69,6,715/2007*2017/1347AG,,,,74.00,,,3750,1.43,129,,5.80,,,,,,,,,,,
XL441P,1,Benzine,3.50,3.80,4.20,86,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,112,,4.90,,,,,,,,,,,
G041TP,1,Benzine,4.00,4.60,5.70,106,,69,73,6,715/2007*2018/1832DG,,,,70.00,,,3750,0.00,130,,5.70,,,,,,,,,,,
G087GT,1,Diesel,3.30,3.50,3.90,93,,71,69,6,715/2007*2018/1832DG,,,,88.00,,0.50,2700,0.48,118,,4.50,,,,,,,,,,,
